Category,Software,Version,Source,Last Updated,License
01_Cybersecurity,ClamAV,v1.4.1,https://www.clamav.net/downloads/production/clamav-1.4.1.win.x64.msi,2025-09-11,GPL-2.0
01_Cybersecurity,Immunet,v7.5.2,https://download.immunet.com/binaries/immunet/setup/Immunet-7.5.2-installer.exe,2025-09-11,Freeware
01_Cybersecurity,OSSEC HIDS,v3.7.0,https://updates.atomicorp.com/channels/atomic/windows/ossec-agent-win32-3.7.0.exe,2025-09-11,GPL-2.0
01_Cybersecurity,Wazuh Agent,v4.8.2,https://packages.wazuh.com/4.x/windows/wazuh-agent-4.8.2-1.msi,2025-09-11,GPL-2.0
01_Cybersecurity,Sysinternals Suite,2025.09,https://download.sysinternals.com/files/SysinternalsSuite.zip,2025-09-11,Microsoft
02_Backup_Recovery,UrBackup Client,v2.6.1,https://hndl.urbackup.org/Client/2.6.1/UrBackup-Client-2.6.1.exe,2025-09-11,AGPL-3.0
02_Backup_Recovery,Duplicati,v2.0.8.1,https://github.com/duplicati/duplicati/releases/download/v2.0.8.1_canary_2024-05-07/duplicati-2.0.8.1_canary_2024-05-07-x64.zip,2025-09-11,LGPL-2.1
02_Backup_Recovery,Kopia,v0.18.1,https://github.com/kopia/kopia/releases/download/v0.18.1/KopiaUI-0.18.1-win-x64.zip,2025-09-11,Apache-2.0
02_Backup_Recovery,Rescuezilla,v2.5.1,https://github.com/rescuezilla/rescuezilla/releases/download/2.5.1/rescuezilla-2.5.1-64bit.iso,2025-09-11,GPL-3.0
03_System_Utilities,7-Zip,v24.08,https://www.7-zip.org/a/7z2408-x64.exe,2025-09-11,LGPL
03_System_Utilities,BleachBit,v4.6.2,https://download.bleachbit.org/BleachBit-4.6.2-portable.zip,2025-09-11,GPL-3.0
03_System_Utilities,Everything,v1.4.1.1026,https://www.voidtools.com/Everything-1.4.1.1026.x64.zip,2025-09-11,MIT
03_System_Utilities,HWiNFO,v8.12,https://www.hwinfo.com/files/hwi_812.zip,2025-09-11,Freeware
03_System_Utilities,OSQuery,v5.12.2,https://github.com/osquery/osquery/releases/download/5.12.2/osquery-5.12.2.msi,2025-09-11,Apache-2.0
04_Networking,Nmap,v7.95,https://nmap.org/dist/nmap-7.95-setup.exe,2025-09-11,Nmap License
04_Networking,Wireshark,v4.4.1,https://2.na.dl.wireshark.org/win64/Wireshark-4.4.1-x64.exe,2025-09-11,GPL-2.0
04_Networking,Zeek,v6.0.5,https://download.zeek.org/zeek-6.0.5-win64.msi,2025-09-11,BSD-3-Clause
04_Networking,PuTTY,v0.81,https://the.earth.li/~sgtatham/putty/0.81/w64/putty-64bit-0.81-installer.msi,2025-09-11,MIT
04_Networking,Advanced Port Scanner,v2.5.3,https://download.advanced-port-scanner.com/download/files/Advanced_Port_Scanner_2.5.3997.exe,2025-09-11,Freeware
05_Productivity,LibreOffice,v24.8.2,https://download.documentfoundation.org/libreoffice/stable/24.8.2/win/x86_64/LibreOffice_24.8.2_Win_x86-64.msi,2025-09-11,MPL-2.0
05_Productivity,OnlyOffice Desktop,v8.2.0,https://github.com/ONLYOFFICE/DesktopEditors/releases/download/v8.2.0/DesktopEditors-win-x64.exe,2025-09-11,AGPL-3.0
05_Productivity,Thunderbird,v128.2.3,https://download.mozilla.org/pub/thunderbird/releases/128.2.3esr/win64/en-US/Thunderbird%20Setup%20128.2.3esr.exe,2025-09-11,MPL-2.0
05_Productivity,Sumatra PDF,v3.6.0,https://www.sumatrapdfreader.org/dl/rel/3.6.0/SumatraPDF-3.6.0-64-install.exe,2025-09-11,GPL-3.0
05_Productivity,Firefox,v130.0.1,https://download.mozilla.org/?product=firefox-130.0.1-SSL&os=win64&lang=en-US,2025-09-11,MPL-2.0
06_Remote_Management,RustDesk,v1.3.2,https://github.com/rustdesk/rustdesk/releases/download/1.3.2/rustdesk-1.3.2-x86_64.exe,2025-09-11,AGPL-3.0
06_Remote_Management,TightVNC,v2.8.85,https://www.tightvnc.com/download/2.8.85/tightvnc-2.8.85-gpl-setup-64bit.msi,2025-09-11,GPL-2.0
06_Remote_Management,MeshCentral Agent,v1.2.28,https://github.com/Ylianst/MeshCentral/releases/download/v1.2.28/meshcentral-v1.2.28.zip,2025-09-11,Apache-2.0
07_Security_Tools,VeraCrypt,v1.26.15,https://launchpad.net/veracrypt/trunk/1.26.15/+download/VeraCrypt%20Setup%201.26.15.exe,2025-09-11,Apache-2.0
07_Security_Tools,KeePassXC,v2.7.9,https://github.com/keepassxreboot/keepassxc/releases/download/2.7.9/KeePassXC-2.7.9-Win64.msi,2025-09-11,GPL-2.0
07_Security_Tools,Process Monitor,v4.0,https://download.sysinternals.com/files/ProcessMonitor.zip,2025-09-11,Microsoft
07_Security_Tools,Autoruns,v14.11,https://download.sysinternals.com/files/Autoruns.zip,2025-09-11,Microsoft
