"Name","Type","Email","IsCompliant","ComplianceIssues","PrimaryHasAccess","FormerHasAccess","FormerIsMember","Error"
"Accounts","DistributionGroup","accounts@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","True",
"All Employees","DistributionGroup","allemployees@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","True",
"Call Centre Agents All","DistributionGroup","callcentreall@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Credit Vetting Agents","DistributionGroup","creditvettingagents@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Executives","DistributionGroup","Executives@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Gauteng Call Centre Agents","DistributionGroup","gautengcca@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"HR Group","DistributionGroup","hrgroup@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"iBridge General Enquiries","DistributionGroup","info@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"JustInTime","DistributionGroup","JiT@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"KZN Call Centre Agents","DistributionGroup","kzncca@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Learning and Development","DistributionGroup","learninganddev@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"MTN Escalations","DistributionGroup","cc@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Ops Management","DistributionGroup","opsmanagement@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
"Senior Managers","DistributionGroup","seniorm@ibridge.co.za","False","Primary admin not manager; Multiple managers (2); Other managers: Itumeleng, Mgqibelo","False","False","False",
"Team Leaders","DistributionGroup","teamleaders@ibridge.co.za","False","Primary admin not manager; Other managers: 6ac3115c-e13d-47a0-aef2-4b714caebed8","False","False","False",
